Species,Augustus,Genscan,GeneID,GlimmerHMM,Snap,Helixer
9EIME,toxoplasma,HumanIso.smat,cubiquitum.param,rice,O.sativa.hmm,land_plant
9EUKA,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
9FUNG,rhizopus_oryzae,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
9MICR,encephalitozoon_cuniculi_GB,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
9SPIT,tetrahymena,HumanIso.smat,ptetraurelia.param,rice,O.sativa.hmm,land_plant
9STRA,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
9TRYP,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
ACYPI,pea_aphid,HumanIso.smat,apisum.param,Celegans,A.mellifera.hmm,invertebrate
AEDAE,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
AILME,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ALLMA,rhizopus_oryzae,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
ANOCA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ANODA,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
ANOGA,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
ASTMX,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ATTCE,camponotus_floridanus,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
AURAN,pea_aphid,HumanIso.smat,bhominis.param,rice,O.sativa.hmm,land_plant
BATDJ,rhizopus_oryzae,HumanIso.smat,bdendrobatidis.param,Celegans,A.mellifera.hmm,invertebrate
BETVU,arabidopsis,Arabidopsis.smat,stuberosum.param,arabidopsis,A.thaliana.hmm,land_plant
BODSA,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
BOMMO,heliconius_melpomene1,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
BOVIN,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
BRUMA,brugia,HumanIso.smat,lloa.param,Celegans,B.malayi.hmm,invertebrate
CAEBE,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAEBR,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAEEL,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAERE,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CALJA,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
CANLF,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CAVPO,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CHICK,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CHLRE,chlamy2011,Arabidopsis.smat,rice.param,rice,O.sativa.hmm,land_plant
CHLSB,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
CIOIN,ciona,HumanIso.smat,cintestinalis.param,zebrafish,C.intestinalis.hmm,vertebrate
CIOSA,ciona,HumanIso.smat,cintestinalis.param,zebrafish,C.intestinalis.hmm,vertebrate
CRAGI,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
CULQU,culex,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
DANRE,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
DAPPU,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
DENPD,tribolium2012,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
DROAN,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROGR,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROME,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROMO,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROPE,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROPS,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROSE,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROSI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROVI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROWI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
EMIHU,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
ENTBH,encephalitozoon_cuniculi_GB,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
FELCA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
FICAL,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
GASAC,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
GIAIN,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
GONPR,rhizopus_oryzae,HumanIso.smat,bdendrobatidis.param,Celegans,A.mellifera.hmm,invertebrate
GORGO,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
GUITH,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
HAMHA,toxoplasma,HumanIso.smat,cubiquitum.param,rice,O.sativa.hmm,land_plant
HELRO,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
HETGA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
HORSE,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
HUMAN,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
ICHMG,tetrahymena,HumanIso.smat,tthermophila.Feb_2_2012,rice,O.sativa.hmm,land_plant
ICTTR,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
IXOSC,pea_aphid,HumanIso.smat,rechinopus.param,Celegans,A.mellifera.hmm,invertebrate
LATCH,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
